#;Hruby_skor
1;0
7;6
11;9
15;8
16;0
27;11
33;5
36;2
40;5
42;3
48;28
51;7
56;0
59;21
72;1
75;16
76;4
77;8
82;14
83;24
86;0
88;3
92;2
94;2
118;6
120;8
134;6
141;6
155;7
157;3
166;6
174;1
197;6
205;17
207;4
210;1
222;14
225;1
232;19
233;13
235;0
237;10
247;16
254;3
259;10
266;5
274;5
275;6
293;7
295;6
296;19
298;1
300;6
318;8
322;4
323;0
324;16
329;3
334;1
343;12
344;7
347;2
348;5
351;11
361;24
364;12
367;5
372;6
375;6
377;12
382;0
384;0
386;10
398;6
404;5
409;2
419;18
422;8
423;16
424;13
442;3
453;12
455;11
457;1
458;10
460;2
461;15
465;15
467;18
474;19
488;1
503;0
510;18
513;4
515;5
516;11
517;10
520;15
522;10
526;0
527;0
530;9
537;21
538;5
540;10
543;6
554;16
555;1
558;14
566;4
568;2
570;19
574;20
579;11
580;14
584;9
587;15
590;7
597;15
598;2
611;3
616;9
618;3
621;4
628;12
632;5
633;4
640;0
643;7
649;10
660;9
662;11
665;4
666;4
672;8
674;7
676;12
688;7
700;7
707;10
710;5
715;4
719;3
724;11
726;2
730;3
732;10
745;17
752;4
753;1
760;6
763;5
766;0
767;6
775;11
780;3
788;3
793;16
796;11
798;3
799;11
802;0
804;8
818;7
822;7
836;8
839;11
840;12
848;2
849;7
852;6
858;10
859;2
864;1
868;10
874;6
878;1
879;11
881;1
884;18
891;1
893;29
894;4
897;7
902;12
905;3
908;3
909;4
923;7
931;8
937;2
941;10
942;7
947;6
958;11
960;24
967;6
968;2
988;4
992;1
