#;Pohlavi;IQ
1;1;144
5;0;97
7;0;94
11;1;111
15;0;113
16;0;84
26;0;120
27;0;97
33;1;89
36;0;82
40;0;117
42;0;99
45;0;72
46;0;102
48;0;81
51;0;98
53;1;96
55;1;135
56;0;121
57;0;101
59;0;116
67;1;95
72;0;102
74;0;124
75;0;87
76;0;106
77;1;128
82;0;108
83;1;109
86;1;108
87;0;108
88;0;75
92;0;101
94;0;101
114;0;70
118;0;118
119;0;72
120;0;122
122;0;119
128;1;125
129;0;101
131;0;122
134;0;129
136;0;130
141;0;106
142;0;91
155;0;133
157;0;137
163;1;115
166;0;86
174;1;114
178;1;106
179;1;139
189;0;93
191;0;111
197;1;125
205;0;80
207;0;99
210;0;80
213;1;99
222;0;92
223;1;95
224;0;128
225;0;93
227;0;98
232;1;102
233;0;89
235;1;144
237;1;95
238;1;117
242;0;78
243;0;78
244;0;120
246;0;108
247;1;104
251;0;116
254;1;126
259;0;122
265;0;101
266;0;124
267;1;107
272;0;99
274;0;106
275;0;88
283;0;111
288;0;110
293;0;131
295;1;109
296;0;94
298;0;119
300;0;100
301;0;74
303;0;101
304;0;107
318;0;109
322;0;114
323;0;81
324;1;112
328;0;123
329;0;107
334;0;79
343;0;131
344;0;89
346;1;93
347;0;136
348;0;129
351;0;110
357;1;104
358;0;84
360;1;107
361;0;109
364;0;97
367;0;127
372;0;78
373;0;99
374;0;97
375;0;108
376;1;90
377;0;88
378;1;129
380;0;96
382;0;73
384;0;99
385;0;98
386;0;94
394;0;106
398;0;101
404;1;88
409;0;88
411;0;111
419;1;86
420;1;96
421;1;84
422;0;90
423;0;121
424;1;90
431;0;91
442;0;96
453;0;103
455;0;94
457;1;92
458;0;93
460;0;101
461;0;118
465;1;133
466;0;87
467;0;76
470;0;95
474;0;115
488;1;117
489;1;74
495;0;122
501;0;103
503;0;89
505;1;101
510;0;108
513;0;107
515;0;111
516;0;105
517;1;106
520;0;89
522;0;91
526;1;98
527;0;126
530;0;115
531;0;108
537;0;106
538;0;109
539;0;70
540;0;70
543;1;91
554;0;99
555;0;90
558;0;119
566;0;98
568;0;116
570;0;93
574;0;84
579;0;116
580;0;110
582;0;128
584;1;143
587;0;102
590;1;107
594;1;105
597;0;89
598;1;98
611;1;98
616;1;109
618;1;133
621;0;96
623;0;91
627;1;123
628;0;109
632;0;111
633;0;103
640;0;106
643;0;119
649;0;97
652;0;118
660;0;126
662;1;95
665;0;107
666;0;104
670;0;70
672;0;95
674;0;94
676;0;117
688;0;110
696;0;90
698;0;89
700;1;82
707;1;132
710;0;121
711;1;107
714;0;101
715;0;125
719;1;114
723;1;136
724;1;131
726;0;111
730;0;94
732;0;122
744;0;106
745;0;113
752;0;90
753;0;91
760;0;74
763;0;131
766;0;122
767;0;115
770;1;128
775;0;104
780;0;78
786;0;89
788;0;71
793;0;125
796;0;84
798;1;90
799;0;117
801;0;101
802;0;110
804;1;115
818;0;115
822;0;113
833;0;107
835;0;98
836;0;101
837;0;81
839;0;112
840;0;109
841;0;137
848;0;92
849;0;100
851;1;113
852;0;120
858;1;109
859;0;120
860;0;112
864;1;124
868;0;89
874;1;105
878;0;93
879;1;124
881;1;126
884;0;115
888;1;113
889;0;67
891;0;109
893;0;83
894;0;118
897;0;106
902;0;97
903;0;101
905;0;146
907;0;119
908;0;124
909;0;92
912;0;98
914;0;109
915;1;114
919;0;103
922;0;103
923;0;93
929;0;100
931;0;106
937;0;111
940;0;93
941;0;116
942;1;123
947;0;145
958;0;100
960;0;110
967;0;93
968;0;102
977;0;100
986;0;104
988;1;90
992;0;111
1000;1;111
