#;Fakulta;AQ
1;LF;20
5;FF;30
7;FF;19
11;FTK;8
15;PedF;6
16;PrF;15
26;FF;18
27;PedF;13
33;FF;17
36;CMTF;13
40;;15
42;PrF;20
45;FZV;19
46;FF;20
48;PrF;16
51;PedF;17
53;;33
55;PedF;10
56;;10
57;FTK;10
59;PedF;28
67;PF;13
72;FZV;11
74;FF;19
75;FZV;15
76;FF;17
77;FTK;7
82;FF;35
83;PrF;22
86;FF;25
87;FTK;30
88;;22
92;;14
94;;7
114;FF;23
118;PedF;16
119;PF;11
120;FF;22
122;FF;11
128;PF;20
129;FF;15
131;PrF;16
134;FF;27
136;FF;15
141;PrF;14
142;FF;18
155;FF;12
157;PedF;25
163;PF;14
166;LF;19
174;FF;24
178;FF;10
179;FF;8
189;PrF;31
191;;10
197;LF;20
205;FF;20
207;FF;23
210;PrF;25
213;FF;28
222;PF;9
223;PrF;22
224;FF;9
225;FF;11
227;PrF;35
232;PedF;19
233;FF;10
235;FF;14
237;PF;25
238;PrF;15
242;PrF;29
243;PrF;11
244;FTK;24
246;PedF;13
247;PF;21
251;PF;19
254;LF;17
259;FTK;8
265;FF;23
266;PrF;9
267;PrF;22
272;CMTF;13
274;;6
275;PrF;25
283;LF;13
288;PedF;24
293;FF;26
295;;30
296;PF;12
298;PrF;12
300;FF;21
301;PedF;9
303;PrF;15
304;FF;21
318;FF;13
322;FF;7
323;PrF;30
324;PrF;21
328;FF;19
329;FF;18
334;FF;23
343;LF;10
344;LF;17
346;;20
347;LF;5
348;PrF;25
351;PrF;15
357;FF;15
358;LF;10
360;LF;22
361;FF;16
364;PedF;14
367;;16
372;PrF;28
373;PedF;17
374;PedF;23
375;FF;23
376;PF;21
377;PrF;21
378;PrF;12
380;PF;6
382;FF;28
384;;20
385;;11
386;FF;12
394;FF;25
398;FF;18
404;LF;18
409;FF;11
411;FF;10
419;PrF;30
420;FF;23
421;FTK;16
422;PrF;27
423;LF;12
424;FTK;12
431;FF;15
442;PrF;28
453;PedF;17
455;CMTF;12
457;PF;12
458;;27
460;FF;11
461;;15
465;LF;13
466;FF;31
467;PrF;9
470;PF;25
474;LF;15
488;PrF;12
489;PrF;19
495;;11
501;PrF;35
503;PedF;14
505;PrF;18
510;FF;23
513;PrF;19
515;PF;19
516;FF;9
517;PedF;29
520;PrF;17
522;LF;9
526;FF;30
527;PrF;16
530;FF;16
531;PedF;20
537;FF;10
538;CMTF;21
539;PrF;32
540;PF;6
543;FF;24
554;FF;30
555;PrF;16
558;PedF;13
566;FF;20
568;FF;17
570;PrF;12
574;LF;31
579;FF;24
580;PedF;17
582;PedF;17
584;PrF;25
587;;21
590;PrF;11
594;PrF;27
597;;16
598;FF;15
611;FF;33
616;FF;24
618;FF;15
621;PrF;21
623;FZV;12
627;LF;22
628;FF;33
632;PedF;11
633;PrF;20
640;PedF;23
643;LF;15
649;PF;20
652;FF;14
660;FTK;8
662;PF;10
665;FF;19
666;FF;10
670;;7
672;PedF;26
674;PrF;17
676;FF;23
688;LF;8
696;FF;12
698;PrF;31
700;;15
707;FF;10
710;PedF;8
711;FF;18
714;FF;20
715;PedF;11
719;LF;10
723;FF;18
724;;28
726;PrF;13
730;FF;21
732;PrF;16
744;PrF;22
745;PedF;11
752;FF;20
753;PedF;30
760;FF;30
763;FF;11
766;FF;24
767;PrF;34
770;FF;16
775;PrF;14
780;PrF;16
786;FF;8
788;LF;34
793;FF;13
796;LF;15
798;PrF;21
799;PrF;10
801;PedF;14
802;FF;22
804;PF;25
818;PF;13
822;FTK;9
833;FF;17
835;LF;7
836;FTK;16
837;PrF;26
839;FF;12
840;PrF;11
841;FF;22
848;PrF;25
849;FZV;21
851;PrF;10
852;PrF;21
858;FF;31
859;PrF;33
860;PedF;14
864;PF;16
868;FF;25
874;FF;21
878;PedF;26
879;FF;11
881;PrF;19
884;LF;24
888;FF;26
889;FF;15
891;PrF;20
893;PedF;12
894;PF;22
897;FF;7
902;PrF;11
903;FF;13
905;PrF;21
907;PrF;30
908;FF;7
909;FF;16
912;PF;21
914;PedF;12
915;PrF;24
919;FZV;17
922;FF;18
923;PedF;31
929;PedF;19
931;PrF;16
937;CMTF;16
940;PrF;18
941;PrF;18
942;FF;14
947;PrF;18
958;PrF;17
960;FTK;17
967;PrF;11
968;CMTF;15
977;PrF;12
986;CMTF;30
988;PrF;12
992;PedF;19
1000;PrF;17
